Name,Address,Borough,Surface Type,Permit Status,Number of Courts,Dates Open,Hours Open,Description/Local Tips,Latitude,Longitude,Google Maps Embed Code
Hudson River Park Tennis Courts,"92 Hudson River Greenway, New York, NY 10014",Manhattan ,Hard,Not Required,3 (2 Doubles 1 Singles),All Year,6 AM - 1 AM (Floodlights),"• First-come, first-served.
• Add or check wait times here.
• When at the court, scan the QR for quick access — your update helps others, and theirs helps you.
• Wait Times:
• Very busy: Early weekday mornings, weekday afternoons (after work), and all day on weekends.
• More available: During weekday work hours in summer.
• Expect a wait time.
• Amenities:
• Water fountains (southwest corner of singles court; off in winter).
• Restrooms inside Pier 40 (short walk north).",40.72744626,-74.01134816,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3023.580839769446!2d-74.0113267!3d40.72724300000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c259f3cc639b0f%3A0x121147d22edb68e2!2sHudson%20River%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1753905229657!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
John Jay Park Tennis Courts," FDR Dr, New York, NY 10021",Manhattan,Hard,Not Required,1,All Year,7 am to 10 pm ,"• First-come, first-served.
• Add or check wait times here, your update helps others, and theirs helps you.
• No fence around court.
• Water fountains and restrooms are nearby.
• As Always, be respectful, communicate clearly, and if others are waiting, please finish on time.",40.77214648,-73.94961907,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d48351.06806162828!2d-73.9712484!3d40.7633058!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c258c793a40e11%3A0xac96fe78f1d66e55!2sJohn%20Jay%20Park!5e1!3m2!1sen!2s!4v1753921549953!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Pier 42," E River Greenway, New York, NY 10002",Manhattan,Hard,Not Required,4,All Year,7 am til dusk,"• This court operates on a first-come, first-served system.
• When you arrive, check in with waiting players to find your place in line.
• This court uses a racket lineup system — rackets are placed along the fence near the entrance, with the racket closest to the gate playing next.
• Add yours to the end and wait your turn.
• Play is limited to 1 hour for singles and 2 hours for doubles (4 players).
• As Always, be respectful, communicate clearly, and if others are waiting, please finish on time.
• You can check or add live wait times on this page, or scan the QR code on-site for quick access.
• Your update helps others, and theirs helps you — the more we share, the better it works for everyone.",40.71004575,-73.98294707,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1512.1752065222272!2d-73.98185272772199!3d40.710301924484554!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25bd483707945%3A0x412aca3ed494226b!2sPier%2042!5e1!3m2!1sen!2s!4v1753921636514!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Van Voorhees Tennis Courts,"Atlantic Ave, Brooklyn, NY 11201, United States",Brooklyn,Hard,"Required, but Rarely Checked",2,All Year,6 am - dusk,"• Sign-Up:
• Required: You must sign up for a court.
• Permit: Technically required, but never checked. Just write random numbers on the permit section of the sign-up sheet and you’ll be fine.
• Peak Times: Courts usually fully booked before 8:00 AM in summer.
• Strategy: Arrive before 6:30 AM to secure your desired court time for any hour of the day.
• Amenities:
• Restrooms in the park.
• Water fountains available.",40.69008136,-73.99996502,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3025.2627064496505!2d-74.00229317397543!3d40.690211521396854!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25a449a1b5313%3A0x6f9da45dcf096dab!2sVan%20Voorhees%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1753972856015!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Fort Greene Tennis Courts,"136-144, DeKalb Ave, Brooklyn, NY 11217, United States",Brooklyn,Hard,Required & Enforced,6,All Year,8am-8pm,"• Sign-Ups & Permits:
• A sign-up sheet governs play from 8 AM - 7 PM.
• Strategy: Arrive around 7 AM to secure your ideal court time on the sign-up sheet.
• Wait Times:
• Courts are booked early in the morning.
• If you don't show up to sign up, you will not be able to play later in the day.
• Early Morning Access (Before 8 AM):
• No park attendants, so sign-up times are not enforced.
• Beyond the defined tennis season, permits are not required to use the tennis courts, and they are generally available on a first-come, first-served basis during park hours.
• Pro Tip: Players often arrive around 6 AM for walk-on play and may stay until 8 AM.",40.6907096,-73.97546384,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2973.275106753196!2d-73.98025105081932!3d40.69055769274957!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25bb6c6fe52c7%3A0x2b3bb16e97b13c01!2sFort%20Greene%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1753974739170!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
South Oxford Park Tennis Courts,"197 S Oxford St, Brooklyn, NY 11217, United States",Brooklyn ,Hard,Not Required ,2,All Year,7-am- dusk,"• First-come, first-served.
• Add or check wait times here.
• When at the court, scan the QR for quick access — your update helps others, and theirs helps you.
• Once arriving at the courts, there will be benches where if there’s a wait there will be fellow tennis players waiting, communicate clearly with them to figure out wait time, and wait your turn respectfully keeping track of your time.
• Play is limited to one hour",40.6843417,-73.97245864,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d10208.22994508242!2d-73.98502009304687!3d40.68565933106024!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25bafe8846c0f%3A0x4227ade159350f29!2sSouth%20Oxford%20Park!5e1!3m2!1sen!2s!4v1753975703343!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
McCarren Park Tennis Courts,"50 Bedford Ave, Brooklyn, NY 11222, United States",Brooklyn,Hard,Required & Enforced,7,All Year,7am - 8pm,"• Permits & Sign-Ups:
• 7 AM - 7 PM (In Season): Permit required. Arrive before 7:00 AM to secure your ideal sign-up time.
• After 7 PM: Courts switch to first come, first served. No permit required — you can show up after 7:00 PM and walk on without a NYC Parks tennis permit.
• Winter Access (Approx. Columbus Day - April 27th):
• A bubble is erected for indoor play. Operated by McCarren Tennis Center.
• Rates:
• Weekdays: $40-$55/hour.
• Weekends: $50-$55/hour.
• Senior Rate: $15/hour (with 10% off season passes).
• Note: NYC Parks Tennis permit is required in addition to the hourly fee.",40.72180079,-73.95456065,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d814.1225211045479!2d-73.9552336814057!3d40.72124472649606!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2594353ffde91%3A0xe92e87340323544a!2sMcCarren%20Park%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1753978238473!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Jackie Robinson Park Tennis Courts,Malcom X Blvd. between Chauncey St. and Marion St.,Brooklyn,Hard,"Required, but Rarely Checked",4,All Year,7 am - dusk,"• Usually able to walk on to the courts, permits unchecked, if courts are taken wait your turn communicate, be respectful.
• Make sure to keep court time to an hour max.",40.68034119,-73.92805904,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d828.6097523331764!2d-73.92928132234022!3d40.680936110703485!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25c70e311520d%3A0xa4f1bf198f2bcdd2!2sJackie%20Robinson%20Park%20Playground%20Tennis%20Courts!5e1!3m2!1sen!2s!4v1753978362592!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Prospect Park Tennis Courts,"50 Parkside Ave, Brooklyn, NY",Brooklyn ,Hard,Required & Enforced,11,All Year,6 am - 11 pm,"• Access:
• In Season (May 21 – Oct 5): NYC Parks Department Court Pass required.
• Winter Season (Oct 16 – Apr 28): A bubble is erected for indoor play. Courts are for paid reservation only.
• Hours:
• Outdoor Season: 6 AM – 11 PM
• Indoor Season: Hours vary by time slot.
• Booking & Sign-Ups:
• Outdoor Courts: Reservations for permit holders are $15 per hour, bookable 7 days in advance.
• Indoor Courts: To reserve, contact the Prospect Park Tennis Center directly via their website or phone.
• Note: Strict 24-hour cancellation policy for all reservations.
• Outdoor Court Rates (per hour):
• Reservations for permit holders: $15
• Night Play (7-11 PM): Mon-Thurs: $40 | Fri-Sun: $32
• Indoor Court Rates (per hour):
• Mon-Thurs: $42-$80 (varies by time)
• Friday: $42-$88 (varies by time)
• Sat-Sun: $42-$90 (varies by time)
• Discounts: Senior rates available for ages 62+.
• Lessons:
• Outdoor: $85-$100/hour range, depending on staff or head pro.
• Indoor: Available for a fee (contact center for rates).
• Amenities:
• Pro shop, restrooms, and locker rooms available.
• Water fountains and snack bar.",40.65148099,-73.970349,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3027.0296186163755!2d-73.97515551406532!3d40.65127749766718!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25b152102ea85%3A0xaa6370adfa7b3706!2sProspect%20Park%20Tennis%20Center!5e1!3m2!1sen!2s!4v1754082664003!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Leif Ericson Tennis Courts,"67th Street &, 8th Ave, Brooklyn, NY 11220, United States",Brooklyn,Hard,"Required, but Rarely Checked",9,All Year,7 am til dusk,"• Wait Times:
• Expect wait time before getting on the court.
• Courts are usually busy weekday afternoons in season.
• Etiquette: Please respect the 1-hour play limit. You can check or add live wait times on this page, or scan the QR code on-site for quick access.
• Your update helps others, and theirs helps you — the more we share, the better it works for everyone.",40.63232121,-74.01431633,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2904.659228204256!2d-74.01304010630285!3d40.63167291527274!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c2454f6cb6c931%3A0x9965f9b9d09a4b14!2sLeif%20Ericson%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754187719973!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Manhattan Beach Tennis Courts,"Oriental Blvd &, Mackenzie St, Brooklyn, NY 11235, United States",Brooklyn,Hard,"Required, but Rarely Checked",6,All Year,7 am til dusk,"• Although Park Organization says permit is required, no attendant to check up on it, you can show up and play on the courts at your will as they are open",40.57761443,-73.9396519,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3030.370696620213!2d-73.94223962398097!3d40.57757227141419!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c24476efe1e065%3A0x3815610cffc3f3b6!2sManhattan%20Beach%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754249708881!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Friends Field Tennis Courts,"1328 E 4th St, Brooklyn, NY 11230, United States",Brooklyn,Hard,"Required, but Rarely Checked",2,All Year,7am til dusk,"• No on-site attendant to enforce permits, so play can be a bit unstructured.
• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.
• You can check or add live wait times on this page, or scan the on-site QR code for quick access.
• Your update helps others, and theirs helps you — the more we share, the better it works for everyone.",40.61839121,-73.97233252,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3028.5225751995954!2d-73.97489812397896!3d40.618356071407966!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c244dcc47dc93f%3A0x98333e936451020c!2sFriends%20Field%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754249732817!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Kaiser Park Tennis Courts,"2701-2793 Neptune Ave, Brooklyn, NY 11224, United States",Brooklyn,Hard,"Required, but Rarely Checked",12,All Year,7am til dusk,"• No on-site attendant to enforce permits, so play can be a bit unstructured.
• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.5787101,-73.99443609,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d8040.2438449398!2d-73.98902818367708!3d40.569738133292695!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c245c803d7e115%3A0xd09095f213995c08!2sKaiser%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754249874084!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Lucille Ferrier Tennis Courts,"286-298 Firefighter Jimmy Riches Wy, Brooklyn, NY 11228, United States",Brooklyn,Hard,"Required, but Rarely Checked",9,All Year,7am til dusk,"• No on-site attendant to enforce permits, so play can be a bit unstructured.
• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.",40.60616851,-74.01685029,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3029.080184927587!2d-74.01946812397959!3d40.60605447140967!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c245774839fb2b%3A0xb99549a492cb0260!2sLucille%20Ferrier%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754249948835!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Marine Park Tennis Courts,"E. 32nd St &, Ave. S, Brooklyn, NY 11229, United States",Brooklyn,Hard,Required & Enforced,15,All Year,7am til dusk,"• Courts permits are enforced by park attendant, make sure to bring your permit card.
• Courts can get busy so be prepared for a wait time.",40.60844774,-73.93537654,"<iframe src=""https://www.google.com/maps/embed?pb=!3m2!1sen!2s!4v1754250068636!5m2!1sen!2s!6m8!1m7!1s9vCuMVizERRfWRn4mIFzPA!2m2!1d40.60871652826484!2d-73.93515659536719!3f202.38035572318552!4f12.846731087272232!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Lincoln Terrace Park Tennis Courts,"299 Buffalo Ave, Brooklyn, NY 11213, United States",Brooklyn,Hard,"Required, but Rarely Checked",11,All Year,7am til dusk,"• No on-site attendant to enforce permits, so play can be a bit unstructured.
• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.
• You can check or add live wait times on this page, or scan the on-site QR code for quick access (If applicable).
• Your update helps others, and theirs helps you — the more we share, the better it works for everyone.",40.66695334,-73.92521399,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d756.5802418531497!2d-73.92520057873162!3d40.666896371215586!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25c87eecf8247%3A0x91d128a5f4e46d49!2sLincoln%20Terrace%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754250157254!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
Highland Park Tennis Courts,"Sunnyside Ave &, Sunnyside Ct, Brooklyn, NY 11208, United States",Brooklyn,Hard,Not Required,10,All Year,7am til 10 pm (Floodlights),"• Courts are typically first-come, first-served — communicate clearly and be respectful with fellow players to sort out wait times fairly.
• You can check or add live wait times on this page, or scan the on-site QR code for quick access (If applicable).
• Your update helps others, and theirs helps you — the more we share, the better it works for everyone.",40.68388156,-73.88789869,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d665.6669453832858!2d-73.888536023695!3d40.683353503187604!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x89c25dcac39a4db7%3A0xef98af4771f785c5!2sHighland%20Park%20Tennis%20Courts!5e0!3m2!1sen!2s!4v1754250332655!5m2!1sen!2s"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
